date,size_30,size_40,size_50,size_60,size_70,size_80,size_100
2018-09-16,101000.0,90000.0,81000.0,77000.0,74000.0,71000.0,65000.0
2018-09-23,99800.0,88666.66666666667,80333.33333333333,76333.33333333333,73333.33333333333,70333.33333333333,64333.333333333336
2018-09-30,98600.0,87333.33333333333,79666.66666666667,75666.66666666667,72666.66666666667,69666.66666666667,63666.666666666664
2018-10-07,97400.0,86000.0,79000.0,75000.0,72000.0,69000.0,63000.0
2018-10-14,96200.0,84666.66666666667,78333.33333333333,74333.33333333333,71333.33333333333,68333.33333333333,62333.333333333336
2018-10-21,95000.0,83333.33333333333,77666.66666666667,73666.66666666667,70666.66666666667,67666.66666666667,61666.666666666664
2018-10-28,93800.0,82000.0,77000.0,73000.0,70000.0,67000.0,61000.0
2018-11-04,92600.0,81250.0,75750.0,71750.0,68750.0,65750.0,59750.0
2018-11-11,91400.0,80500.0,74500.0,70500.0,67500.0,64500.0,58500.0
2018-11-18,90200.0,79750.0,73250.0,69250.0,66250.0,63250.0,57250.0
2018-11-25,89000.0,79000.0,72000.0,68000.0,65000.0,62000.0,56000.0
2018-12-02,87500.0,75500.0,68000.0,64250.0,61000.0,58000.0,52000.0
2018-12-09,86000.0,72000.0,64000.0,60500.0,57000.0,54000.0,48000.0
2018-12-16,85500.0,78000.0,71000.0,58000.0,55000.0,52000.0,46000.0
2018-12-23,85000.0,75000.0,65000.0,62000.0,59000.0,56000.0,50000.0
2018-12-30,91000.0,81000.0,68000.0,65000.0,62000.0,59000.0,53000.0
2019-01-06,93000.0,83000.0,69000.0,66000.0,63000.0,60000.0,55000.0
2019-01-13,94000.0,84000.0,72000.0,68000.0,65000.0,62000.0,56000.0
2019-01-20,94000.0,84000.0,72000.0,68000.0,65000.0,62000.0,56000.0
2019-01-27,94000.0,84000.0,72000.0,68000.0,65000.0,62000.0,56000.0
2019-02-03,94000.0,84000.0,70000.0,66000.0,63000.0,60000.0,52000.0
2019-02-10,92000.0,82000.0,67000.0,63000.0,60000.0,57000.0,49000.0
2019-02-17,90000.0,80000.0,66000.0,62000.0,59000.0,56000.0,47000.0
2019-02-24,90000.0,80000.0,64000.0,60000.0,57000.0,54000.0,44000.0
2019-03-03,92000.0,82000.0,65000.0,61000.0,57000.0,54000.0,44000.0
2019-03-10,92000.0,82000.0,65000.0,61000.0,57000.0,54000.0,45500.0
2019-03-17,93000.0,83000.0,65500.0,61000.0,58000.0,54500.0,47000.0
2019-03-24,93000.0,83000.0,64000.0,59000.0,56000.0,52000.0,45000.0
2019-03-31,92000.0,82000.0,62000.0,58000.0,54000.0,50000.0,44000.0
2019-04-07,91000.0,82000.0,62000.0,58000.0,54000.0,50000.0,44000.0
2019-04-14,90000.0,72000.0,60000.0,56500.0,53500.0,50000.0,43500.0
2019-04-21,90000.0,72000.0,59000.0,55000.0,52000.0,48000.0,42000.0
2019-04-28,90000.0,72000.0,59000.0,55000.0,52000.0,48000.0,42000.0
2019-05-05,91000.0,72000.0,59500.0,56000.0,53000.0,49500.0,42500.0
2019-05-12,92000.0,72500.0,60000.0,54500.0,54000.0,51000.0,45000.0
2019-05-19,93000.0,73000.0,62000.0,59000.0,55000.0,51000.0,45000.0
2019-05-26,93000.0,74000.0,62000.0,59000.0,56000.0,52000.0,46000.0
2019-06-02,93666.66666666667,75000.0,62666.666666666664,59666.666666666664,56666.666666666664,53000.0,46666.666666666664
2019-06-09,94333.33333333333,76000.0,63333.333333333336,60333.333333333336,57333.333333333336,54000.0,47333.333333333336
2019-06-16,95000.0,77000.0,64000.0,61000.0,58000.0,55000.0,48000.0
2019-06-23,99000.0,80000.0,65000.0,62000.0,59000.0,56000.0,48000.0
2019-06-30,100000.0,80000.0,67000.0,64000.0,61000.0,57000.0,51000.0
